,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population
Qatar,621195.0,654238.0,687678.0,721359.0,750828.0,803914.0,950174.0,1183420.0,1400383.0,1582131.0,1592596.0,1602047.0,1699995.0,1893141.0,2127387.0,2319822.0,2452713.0,2522348.0,2558411.0,2617231.0,2772773.0,2486825.0,23794.0,23687.0,23527.0,23323.0,22504.0,21494.0,22657.0,25175.0,26555.0,26772.0,24236.0,22714.0,22443.0,23285.0,24358.0,24735.0,24400.0,23472.0,22323.0,21426.0,21375.0,18085.0
Romania,11895672.0,11697189.0,11469356.0,11415407.0,11378651.0,11336529.0,11297334.0,11159030.0,11001524.0,10936933.0,10898688.0,10871606.0,10826124.0,10778604.0,10730940.0,10678041.0,10619522.0,10565369.0,10515554.0,10476962.0,10440610.0,10388823.0,10547299.0,10434781.0,10261140.0,10158919.0,10073097.0,9983156.0,9896426.0,9723952.0,9536351.0,9430554.0,9348183.0,9275922.0,9231911.0,9205089.0,9178039.0,9137575.0,9082745.0,9023346.0,8958416.0,8894686.0,8824640.0,8733236.0
Russian Federation,107528803.0,107067910.0,106569238.0,106133030.0,105771342.0,105433226.0,105152927.0,105037446.0,105055527.0,105149986.0,105261487.0,105450176.0,105800390.0,106219158.0,106663426.0,107106450.0,107549266.0,107941269.0,108224172.0,108489246.0,108576558.0,108464539.0,39068066.0,38908572.0,38737259.0,38515588.0,38295974.0,38085588.0,37896710.0,37767668.0,37686839.0,37635362.0,37587981.0,37568019.0,37578057.0,37586480.0,37573797.0,37534266.0,37466194.0,37351991.0,37173934.0,36964045.0,36668590.0,36282223.0
Rwanda,1226011.0,1311764.0,1409298.0,1451525.0,1490752.0,1531302.0,1573153.0,1615944.0,1659373.0,1703231.0,1747174.0,1790979.0,1834910.0,1879988.0,1928258.0,1979269.0,2032936.0,2089603.0,2149309.0,2211927.0,2277637.0,2346252.0,6987920.0,6975330.0,6990882.0,7135350.0,7326092.0,7523226.0,7726093.0,7933989.0,8144896.0,8357201.0,8570379.0,8782754.0,8994991.0,9213352.0,9436499.0,9660753.0,9886247.0,10112457.0,10338687.0,10564176.0,10788200.0,11009008.0
Samoa,39929.0,40421.0,40475.0,40235.0,39963.0,39673.0,39383.0,39166.0,39018.0,38877.0,38755.0,38664.0,38561.0,38434.0,38305.0,38165.0,38016.0,37903.0,37869.0,37878.0,37915.0,37929.0,141756.0,142745.0,143996.0,145195.0,146286.0,147305.0,148326.0,149587.0,151089.0,152636.0,154268.0,156049.0,157937.0,159834.0,161732.0,163617.0,165483.0,167512.0,169713.0,171902.0,174029.0,175850.0
San Marino,25041.0,25447.0,25821.0,26165.0,27735.0,28181.0,28595.0,29653.0,30162.0,31581.0,31853.0,31302.0,32187.0,31842.0,31531.0,31824.0,32078.0,32835.0,33564.0,33751.0,33900.0,33437.0,1758.0,1696.0,1670.0,1678.0,1722.0,1655.0,1589.0,1558.0,1500.0,1485.0,1417.0,1318.0,1282.0,1199.0,1124.0,1073.0,1023.0,990.0,958.0,912.0,870.0,815.0
Sao Tome and Principe,76940.0,79594.0,83289.0,87314.0,91425.0,95634.0,99959.0,104399.0,108933.0,113511.0,118084.0,122647.0,127227.0,131742.0,136188.0,140552.0,144807.0,148952.0,153022.0,157052.0,161672.0,166633.0,67078.0,66781.0,66633.0,66500.0,66280.0,66005.0,65679.0,65301.0,64860.0,64342.0,63718.0,63002.0,62212.0,61406.0,60579.0,59739.0,58882.0,58018.0,57165.0,56340.0,55763.0,55328.0
Saudi Arabia,12917587.0,13646239.0,14383177.0,15128983.0,15883892.0,16649193.0,17425683.0,18213846.0,19014319.0,19826267.0,19682501.0,20651108.0,21594544.0,22856101.0,23485373.0,24801267.0,25816111.0,25903884.0,25317770.0,25273133.0,26594664.0,26015266.0,3260135.0,3395158.0,3527733.0,3657784.0,3785588.0,3910697.0,4033461.0,4154467.0,4273558.0,4391387.0,4295986.0,4440759.0,4574317.0,4767903.0,4823900.0,5015115.0,5138087.0,5073471.0,4878511.0,4790666.0,4957846.0,4769117.0
Senegal,4019202.0,4132565.0,4250016.0,4384747.0,4533624.0,4686765.0,4844300.0,5006516.0,5174666.0,5349368.0,5530899.0,5726277.0,5936880.0,6172487.0,6430149.0,6692793.0,6960382.0,7233016.0,7510370.0,7792658.0,8079308.0,8369341.0,5949058.0,6080377.0,6216198.0,6336429.0,6442080.0,6548707.0,6655794.0,6763828.0,6874293.0,6988021.0,7104514.0,7232620.0,7373615.0,7538362.0,7721953.0,7900538.0,8074139.0,8241986.0,8404128.0,8560264.0,8709911.0,8851526.0
Serbia,3966301.0,3976219.0,3991141.0,3997403.0,4004805.0,4009310.0,4010029.0,4010264.0,4009546.0,4009752.0,4009779.0,3995644.0,3986461.0,3975215.0,3964061.0,3951845.0,3939250.0,3927608.0,3916682.0,3907389.0,3894281.0,3871714.0,3550045.0,3527214.0,3508890.0,3483188.0,3458352.0,3431459.0,3401540.0,3371315.0,3340676.0,3311055.0,3281657.0,3240875.0,3215036.0,3191338.0,3167726.0,3143538.0,3119072.0,3093250.0,3065922.0,3037846.0,3004845.0,2962612.0
Seychelles,40917.0,41126.0,42595.0,42320.0,42382.0,42813.0,43966.0,44460.0,45755.0,46241.0,47880.0,46973.0,47790.0,49055.0,50219.0,51754.0,52859.0,53922.0,54855.0,55762.0,56661.0,57542.0,40214.0,40076.0,41128.0,40461.0,40093.0,40045.0,40634.0,40573.0,41201.0,41057.0,41890.0,40468.0,40513.0,40894.0,41140.0,41665.0,41818.0,41921.0,41907.0,41863.0,41801.0,41716.0
Sierra Leone,1575956.0,1683136.0,1795135.0,1882193.0,1959978.0,2031177.0,2098095.0,2166873.0,2244533.0,2329365.0,2417898.0,2506868.0,2596979.0,2688037.0,2780260.0,2873404.0,2970613.0,3072445.0,3177071.0,3284859.0,3396307.0,3510791.0,2847655.0,3009580.0,3176300.0,3295494.0,3395739.0,3470535.0,3526371.0,3582479.0,3650189.0,3726281.0,3804816.0,3880383.0,3954101.0,4026014.0,4096125.0,4164251.0,4234715.0,4306854.0,4377492.0,4447132.0,4516251.0,4583811.0
Singapore,4027887.0,4138012.0,4175950.0,4114826.0,4166664.0,4265762.0,4401365.0,4588599.0,4839396.0,4987573.0,5076732.0,5183688.0,5312437.0,5399162.0,5469724.0,5535002.0,5607283.0,5612253.0,5638676.0,5703569.0,5685807.0,5453566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sint Maarten (Dutch part),30773.0,30726.0,30960.0,31327.0,31690.0,32057.0,32428.0,32791.0,33145.0,33491.0,33794.0,34267.0,35023.0,35854.0,36672.0,37471.0,38249.0,38996.0,39712.0,40385.0,41008.0,41571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovak Republic,3030239.0,3020933.0,3011770.0,3001728.0,2993058.0,2985293.0,2977317.0,2970070.0,2964549.0,2960369.0,2948302.0,2937801.0,2935234.0,2930811.0,2926070.0,2922832.0,2922095.0,2923642.0,2926332.0,2930459.0,2934665.0,2931708.0,2358481.0,2357934.0,2365142.0,2371646.0,2379222.0,2387514.0,2395737.0,2404552.0,2414684.0,2426037.0,2443126.0,2460583.0,2472345.0,2482582.0,2492579.0,2500969.0,2508703.0,2515590.0,2520439.0,2523688.0,2524162.0,2515539.0
Slovenia,1009459.0,1011568.0,1014358.0,1019460.0,1024627.0,1030904.0,1038715.0,1049080.0,1055309.0,1069460.0,1078743.0,1085605.0,1092516.0,1098614.0,1104335.0,1109788.0,1115536.0,1121491.0,1131123.0,1144894.0,1158811.0,1168445.0,979466.0,980492.0,980172.0,976273.0,972385.0,969570.0,968153.0,969042.0,966007.0,970209.0,969840.0,967238.0,964643.0,961339.0,957645.0,953743.0,949506.0,944897.0,942771.0,943491.0,943608.0,939634.0
Solomon Islands,69651.0,72763.0,75960.0,79251.0,82644.0,86143.0,89760.0,93499.0,97372.0,101499.0,106849.0,113398.0,120285.0,127515.0,135078.0,142973.0,151175.0,159666.0,168404.0,176284.0,183668.0,191624.0,370818.0,376362.0,381711.0,386903.0,391967.0,396937.0,401834.0,406657.0,411418.0,416642.0,426119.0,439547.0,453321.0,467430.0,481830.0,496442.0,511204.0,526006.0,540697.0,551863.0,560830.0,570967.0
Somalia,2938607.0,3092257.0,3246066.0,3444027.0,3652941.0,3865026.0,4071911.0,3895421.0,4199993.0,4502794.0,4820096.0,5063020.0,5178609.0,5420287.0,5693161.0,5970821.0,6287044.0,6621641.0,6949138.0,7302749.0,7683026.0,8071112.0,5900106.0,6106236.0,6303997.0,6465130.0,6628057.0,6779202.0,6903591.0,7427161.0,7463091.0,7458407.0,7441660.0,7285810.0,7282551.0,7449307.0,7646330.0,7836142.0,8061696.0,8294988.0,8503349.0,8728222.0,8968165.0,9200319.0
South Africa,26829636.0,27288122.0,27802281.0,28346513.0,28901509.0,29464386.0,30037465.0,30628406.0,31258622.0,31909770.0,32567422.0,33252371.0,34029306.0,34881241.0,35754152.0,36772735.0,37413963.0,37952754.0,38892657.0,39838076.0,40791186.0,41727671.0,20330083.0,20278678.0,20217134.0,20153835.0,20089912.0,20025647.0,19960812.0,19900178.0,19855977.0,19818746.0,19776629.0,19742834.0,19753261.0,19797550.0,19840686.0,19950802.0,19845588.0,19682408.0,19720344.0,19749809.0,19771195.0,19774932.0
South Sudan,995565.0,1049212.0,1105691.0,1166007.0,1231281.0,1302013.0,1378902.0,1461327.0,1547938.0,1636202.0,1740627.0,1855152.0,1959464.0,2056270.0,2092645.0,2093997.0,2067683.0,1984736.0,1985622.0,2074149.0,2160983.0,2229006.0,5036702.0,5259179.0,5491115.0,5737120.0,6001760.0,6288130.0,6597624.0,6927461.0,7269709.0,7607354.0,8005326.0,8432957.0,8796776.0,9110005.0,9142428.0,9013564.0,8762419.0,8274418.0,8137355.0,8349235.0,8537484.0,8636774.0
Spain,30937864.0,31186430.0,31708814.0,32390830.0,33059302.0,33727737.0,34408810.0,35159317.0,35833174.0,36260460.0,36535850.0,36773882.0,36904876.0,36879299.0,36874025.0,36953082.0,37092178.0,37294243.0,37575779.0,37961020.0,38271151.0,38456064.0,9630000.0,9663982.0,9722744.0,9796815.0,9862593.0,9925418.0,9988509.0,10067486.0,10120932.0,10102486.0,10041047.0,9968815.0,9868179.0,9724898.0,9586708.0,9469221.0,9365961.0,9276989.0,9206232.0,9157481.0,9088273.0,8987757.0
Sri Lanka,3546063.0,3599606.0,3634157.0,3657912.0,3679848.0,3700230.0,3722049.0,3744398.0,3766306.0,3786389.0,3805423.0,3825958.0,3851995.0,3746058.0,3785336.0,3828283.0,3883580.0,3943920.0,4003749.0,4052088.0,4101702.0,4178622.0,15746991.0,16000756.0,16171595.0,16293609.0,16407757.0,16516294.0,16630362.0,16748147.0,16863072.0,16970046.0,17073666.0,17183090.0,17317463.0,16838942.0,16992664.0,17141717.0,17325420.0,17509080.0,17666251.0,17750912.0,17817298.0,17977378.0
Sudan,9039051.0,9281638.0,9528857.0,9762251.0,9994159.0,10241577.0,10497678.0,10768261.0,11068678.0,11405387.0,11718270.0,12001277.0,12312403.0,12660904.0,13079188.0,13565881.0,14078288.0,14680907.0,15322363.0,15912710.0,16494608.0,17108460.0,18777694.0,19235132.0,19699870.0,20133784.0,20562478.0,21020867.0,21494757.0,21995874.0,22555302.0,23163726.0,23696129.0,24139529.0,24610775.0,25124945.0,25744130.0,26458550.0,27181604.0,28033399.0,28908233.0,29635465.0,30294623.0,30958464.0
Suriname,316701.0,323645.0,330658.0,337596.0,342977.0,346288.0,349727.0,353375.0,357155.0,360994.0,364841.0,368673.0,372508.0,376350.0,380258.0,384200.0,388155.0,392094.0,396038.0,400382.0,405042.0,409165.0,159942.0,162915.0,165893.0,168818.0,170946.0,173025.0,175270.0,177641.0,180090.0,182574.0,185082.0,187596.0,190125.0,192670.0,195115.0,197427.0,199602.0,201619.0,203475.0,205386.0,207275.0,208731.0
Sweden,7454878.0,7478923.0,7508835.0,7542470.0,7577769.0,7613645.0,7666670.0,7738188.0,7813274.0,7894625.0,7976659.0,8059895.0,8150488.0,8250182.0,8362604.0,8481489.0,8618398.0,8764881.0,8896291.0,9015406.0,9108648.0,9190703.0,1417231.0,1417037.0,1416123.0,1415759.0,1415762.0,1415927.0,1413835.0,1409904.0,1406363.0,1403890.0,1401467.0,1389318.0,1368886.0,1350197.0,1333506.0,1317697.0,1304687.0,1292817.0,1278923.0,1263481.0,1244794.0,1225108.0
Switzerland,5272018.0,5304905.0,5347082.0,5388808.0,5427827.0,5464643.0,5500991.0,5552336.0,5625324.0,5697988.0,5759681.0,5825978.0,5889928.0,5959745.0,6034707.0,6105617.0,6174416.0,6234162.0,6283319.0,6332759.0,6384901.0,6441016.0,1912232.0,1924949.0,1937671.0,1950193.0,1961798.0,1972472.0,1982943.0,1998781.0,2022351.0,2045843.0,2065228.0,2086420.0,2106933.0,2129601.0,2153942.0,2176779.0,2198922.0,2217678.0,2231010.0,2242521.0,2253266.0,2263530.0
Syrian Arab Republic,8642884.0,8920237.0,9202667.0,9490093.0,9795009.0,10118594.0,10632662.0,11384145.0,11873064.0,12139418.0,12500226.0,12486866.0,12188991.0,11381415.0,10440934.0,10133435.0,10141062.0,10285197.0,10603752.0,11158011.0,11677171.0,12138970.0,7995004.0,8131101.0,8265665.0,8399203.0,8541866.0,8695497.0,9004360.0,9499980.0,9763500.0,9837551.0,9982195.0,10391232.0,10570772.0,10285502.0,9832725.0,9291183.0,9052772.0,8939471.0,8974093.0,9195523.0,9372258.0,9489869.0
Tajikistan,1665518.0,1698147.0,1731219.0,1764988.0,1800038.0,1835743.0,1871102.0,1907544.0,1945851.0,1986259.0,2029348.0,2075211.0,2127339.0,2184745.0,2245831.0,2311536.0,2380511.0,2451570.0,2525452.0,2602538.0,2681645.0,2763425.0,4619217.0,4709230.0,4800450.0,4893587.0,4990509.0,5088977.0,5186464.0,5286933.0,5392552.0,5503971.0,5622793.0,5749574.0,5886745.0,6031979.0,6179721.0,6332304.0,6485120.0,6634376.0,6781881.0,6927428.0,7067665.0,7203483.0
Tanzania,7643094.0,7980862.0,8323793.0,8757215.0,9231305.0,9734787.0,10266335.0,10823370.0,11398738.0,11972728.0,12583401.0,13255537.0,13972091.0,14742934.0,15560631.0,16447468.0,17402918.0,18394950.0,19399970.0,20415337.0,21478888.0,22590046.0,26617045.0,27217437.0,27797511.0,28332340.0,28878363.0,29447289.0,30028567.0,30612142.0,31171990.0,31661254.0,32175087.0,32773830.0,33402169.0,34081194.0,34790881.0,35573494.0,36421095.0,37257940.0,38037175.0,38759554.0,39493910.0,40240366.0
Thailand,19775633.0,20717173.0,21679640.0,22665586.0,23673351.0,24697777.0,25743722.0,26807406.0,27887770.0,28980751.0,30076202.0,30844842.0,31555235.0,32263554.0,32961669.0,33643727.0,34330176.0,35010812.0,35651638.0,36256070.0,36845215.0,37415128.0,43232182.0,42933968.0,42586797.0,42202580.0,41778696.0,41319643.0,40823965.0,40294988.0,39732060.0,39140329.0,38503245.0,38162366.0,37880863.0,37581560.0,37254698.0,36897068.0,36529665.0,36149375.0,35724441.0,35266201.0,34796269.0,34312204.0
Timor-Leste,180781.0,199968.0,219605.0,232364.0,238865.0,246950.0,257568.0,268396.0,279251.0,289990.0,300803.0,311735.0,322625.0,333461.0,344324.0,355393.0,366651.0,378165.0,390163.0,402603.0,415320.0,427927.0,564307.0,612281.0,659554.0,684514.0,690209.0,701361.0,719029.0,736493.0,753178.0,768792.0,783876.0,798472.0,812260.0,825234.0,837579.0,849738.0,861661.0,873538.0,885796.0,898342.0,910733.0,922212.0
Togo,1691432.0,1760324.0,1830174.0,1902450.0,1978055.0,2056433.0,2142743.0,2234982.0,2330157.0,2427990.0,2526943.0,2630473.0,2737050.0,2845766.0,2957521.0,3072941.0,3192666.0,3316480.0,3444076.0,3575477.0,3710640.0,3849488.0,3448605.0,3517058.0,3583100.0,3649717.0,3718453.0,3788198.0,3867925.0,3953362.0,4038655.0,4123875.0,4205647.0,4286001.0,4363686.0,4439676.0,4514929.0,4590254.0,4665623.0,4740660.0,4814702.0,4887591.0,4959080.0,5028891.0
Tonga,23628.0,23799.0,23963.0,24129.0,24300.0,24468.0,24634.0,24789.0,24915.0,25016.0,25120.0,25218.0,25183.0,25037.0,24870.0,24694.0,24505.0,24410.0,24419.0,24417.0,24417.0,24372.0,79049.0,79489.0,79911.0,80335.0,80771.0,81203.0,81619.0,81937.0,82105.0,82187.0,82280.0,82352.0,82277.0,82041.0,81739.0,81401.0,81019.0,80946.0,81148.0,81252.0,81287.0,81118.0
Trinidad and Tobago,737820.0,738579.0,739666.0,740882.0,742044.0,711545.0,711001.0,711410.0,711897.0,710248.0,711895.0,714952.0,716612.0,717600.0,718588.0,719629.0,720949.0,721797.0,722873.0,725463.0,727289.0,728430.0,581954.0,586988.0,592345.0,597827.0,603336.0,582949.0,586943.0,591778.0,596690.0,599858.0,605819.0,613067.0,618582.0,622957.0,626755.0,630038.0,632946.0,634836.0,636320.0,638522.0,639436.0,639128.0
Tunisia,6194094.0,6298630.0,6401912.0,6504764.0,6602923.0,6690362.0,6779382.0,6871580.0,6967944.0,7069496.0,7176279.0,7286894.0,7400465.0,7519862.0,7640810.0,7759925.0,7879388.0,7997135.0,8111734.0,8223969.0,8330112.0,8420541.0,3570841.0,3571047.0,3569603.0,3566868.0,3563240.0,3565110.0,3567028.0,3570122.0,3574691.0,3581185.0,3589701.0,3599141.0,3609182.0,3621499.0,3633478.0,3642339.0,3649286.0,3653363.0,3653780.0,3651112.0,3643945.0,3628081.0
Turkmenistan,2104044.0,2157093.0,2211219.0,2265929.0,2320982.0,2377188.0,2434992.0,2495170.0,2558558.0,2626141.0,2698212.0,2774928.0,2856352.0,2942409.0,3032842.0,3127589.0,3226322.0,3328557.0,3433784.0,3541317.0,3649816.0,3758641.0,2478633.0,2518316.0,2558246.0,2597936.0,2637111.0,2675069.0,2712113.0,2748876.0,2786471.0,2825451.0,2866144.0,2908489.0,2952194.0,2996932.0,3042441.0,3088181.0,3133719.0,3178504.0,3221740.0,3262627.0,3300096.0,3333402.0
Turks and Caicos Islands,15836.0,16710.0,17715.0,18817.0,19928.0,21048.0,22179.0,23327.0,24491.0,25663.0,26833.0,27967.0,29264.0,30787.0,32194.0,33748.0,35448.0,37046.0,38691.0,40300.0,41548.0,42453.0,2894.0,2866.0,2882.0,2910.0,2928.0,2940.0,2944.0,2943.0,2936.0,2925.0,2906.0,2879.0,2863.0,2866.0,2856.0,2857.0,2867.0,2867.0,2868.0,2866.0,2838.0,2790.0
Tuvalu,4392.0,4451.0,4508.0,4620.0,4778.0,4940.0,5101.0,5268.0,5446.0,5626.0,5816.0,6016.0,6212.0,6360.0,6457.0,6548.0,6628.0,6688.0,6707.0,6689.0,6657.0,6604.0,5152.0,5135.0,5115.0,5075.0,5038.0,5000.0,4955.0,4914.0,4875.0,4835.0,4798.0,4764.0,4722.0,4641.0,4527.0,4415.0,4302.0,4181.0,4044.0,3892.0,3742.0,3590.0
Uganda,3548662.0,3761590.0,3989766.0,4232415.0,4482396.0,4742574.0,5017355.0,5307667.0,5614391.0,5937348.0,6278309.0,6636887.0,7013078.0,7405937.0,7826497.0,8279437.0,8777920.0,9319547.0,9881861.0,10475142.0,11093838.0,11731620.0,20451488.0,20984086.0,21543104.0,22119709.0,22672119.0,23220715.0,23776648.0,24345763.0,24925162.0,25513803.0,26112493.0,26717656.0,27324360.0,27931105.0,28569042.0,29252009.0,30021232.0,30857841.0,31683970.0,32524495.0,33363314.0,34179310.0
Ukraine,33274819.0,32991458.0,32751535.0,32577447.0,32432707.0,32258248.0,32134856.0,32071885.0,31989201.0,31938188.0,31866960.0,31808401.0,31784201.0,31769813.0,31706231.0,31619507.0,31545864.0,31462641.0,31353281.0,31233295.0,31100864.0,30901402.0,16281841.0,16115397.0,15925746.0,15737689.0,15546800.0,15327308.0,15143838.0,14990913.0,14829974.0,14685543.0,14589043.0,14499452.0,14425855.0,14356957.0,14266149.0,14165389.0,14070968.0,13973400.0,13855626.0,13724163.0,13579150.0,13397238.0
United Arab Emirates,2803105.0,3003262.0,3207680.0,3415679.0,3626040.0,3837350.0,4139921.0,4669741.0,5255602.0,5616625.0,5776641.0,5997864.0,6264178.0,6544154.0,6880747.0,7286777.0,7681054.0,7954847.0,8086953.0,8197902.0,8183416.0,8359012.0,690470.0,720328.0,749146.0,776778.0,802927.0,827440.0,869179.0,954894.0,1047062.0,1090433.0,1093197.0,1106674.0,1127270.0,1148877.0,1178693.0,1218460.0,1254041.0,1268378.0,1259748.0,1247883.0,1217622.0,1216140.0
United Kingdom,46319551.0,46557334.0,46930583.0,47323791.0,47767769.0,48269624.0,48798541.0,49351705.0,49913475.0,50463084.0,51030310.0,51600211.0,52139171.0,52659402.0,53224263.0,53779611.0,54379018.0,54846111.0,55283700.0,55738164.0,56000218.0,56368376.0,12572963.0,12562339.0,12439896.0,12323786.0,12220136.0,12131582.0,12048279.0,11970758.0,11893520.0,11813186.0,11736055.0,11658599.0,11571829.0,11479598.0,11395737.0,11308389.0,11227982.0,11119889.0,11005300.0,10892836.0,10743782.0,10615624.0
United States,223069137.0,225792302.0,228400290.0,230876596.0,233532722.0,236200507.0,238999326.0,241795278.0,244607104.0,247276259.0,249890982.0,252415333.0,254988734.0,257495300.0,260140638.0,262829627.0,265522131.0,268008492.0,270235289.0,272301245.0,274095406.0,275221034.0,59093274.0,59176653.0,59224903.0,59231337.0,59272576.0,59316092.0,59380586.0,59435929.0,59486862.0,59495270.0,59487245.0,59424128.0,59350365.0,59230982.0,59116922.0,58985494.0,58831209.0,58600117.0,58294288.0,57924982.0,57482314.0,56878726.0
Uruguay,3005824.0,3022232.0,3035214.0,3045859.0,3055888.0,3066249.0,3077432.0,3090162.0,3103980.0,3118404.0,3133204.0,3147576.0,3159926.0,3172818.0,3186671.0,3201132.0,3215185.0,3227148.0,3236145.0,3241818.0,3246524.0,3247342.0,260382.0,252019.0,243653.0,235327.0,227260.0,219522.0,212074.0,204991.0,198197.0,191687.0,185376.0,179249.0,175475.0,172519.0,169663.0,166885.0,164098.0,161290.0,158389.0,155388.0,152444.0,149353.0
Uzbekistan,11433277.0,11693577.0,11960343.0,12231103.0,12508144.0,12792885.0,13088138.0,13403978.0,13744363.0,14101538.0,14464118.0,14743065.0,14938201.0,15144411.0,15368392.0,15605293.0,15845634.0,16084594.0,16341490.0,16625088.0,16932905.0,17268069.0,13353777.0,13396706.0,13439637.0,13480156.0,13521206.0,13564090.0,13610905.0,13672030.0,13750411.0,13837790.0,13921388.0,14080131.0,14323702.0,14579654.0,14854602.0,15144053.0,15438934.0,15734584.0,16032000.0,16339613.0,16653467.0,16975627.0
Vanuatu,40373.0,41937.0,43550.0,45210.0,46921.0,48683.0,50509.0,52414.0,54421.0,56521.0,58280.0,59800.0,61377.0,63012.0,64698.0,66421.0,68190.0,70081.0,72096.0,74147.0,76284.0,78501.0,145908.0,149094.0,152313.0,155536.0,158790.0,162077.0,165414.0,168862.0,172475.0,176210.0,179968.0,183674.0,187506.0,191470.0,195542.0,199680.0,203897.0,208426.0,213163.0,217838.0,222574.0,227367.0
Viet Nam,18805519.0,19443220.0,20095582.0,20759781.0,21436848.0,22121703.0,22914983.0,23838857.0,24810004.0,25732231.0,26601234.0,27495952.0,28421328.0,29371952.0,30359692.0,31382614.0,32439440.0,33514669.0,34567483.0,35592811.0,36622770.0,37646783.0,58348492.0,58526141.0,58676642.0,58803996.0,58902123.0,58966610.0,59252914.0,59794518.0,60365784.0,60727787.0,60853918.0,60972362.0,61089028.0,61201152.0,61319886.0,61440640.0,61560677.0,61662308.0,61669836.0,61580965.0,61456421.0,61288315.0
Zambia,3486336.0,3614021.0,3777360.0,3948712.0,4130506.0,4325533.0,4535846.0,4759780.0,4996412.0,5242500.0,5496160.0,5753606.0,6018246.0,6292800.0,6577799.0,6872366.0,7178143.0,7495582.0,7822277.0,8159419.0,8506017.0,8859262.0,6531295.0,6711164.0,6870589.0,7034883.0,7207692.0,7393286.0,7593707.0,7805305.0,8024912.0,8247889.0,8469434.0,8684190.0,8895383.0,9106197.0,9317516.0,9526723.0,9736280.0,9945738.0,10151292.0,10354420.0,10553378.0,10744345.0
Zimbabwe,4014520.0,4090799.0,4180515.0,4217583.0,4240760.0,4258099.0,4287040.0,4320473.0,4349090.0,4386800.0,4433840.0,4488529.0,4536965.0,4576069.0,4617960.0,4663120.0,4715311.0,4775100.0,4842447.0,4918908.0,5006179.0,5102973.0,7877535.0,7881102.0,7907138.0,8014740.0,8125136.0,8225333.0,8349405.0,8483585.0,8610059.0,8755990.0,8922708.0,9106895.0,9280922.0,9437739.0,9589399.0,9735893.0,9884983.0,10037382.0,10192005.0,10352460.0,10520709.0,10694237.0
